Tapeats 1,1 Sigma,Tapeats 2,1 Sigma,Lower Bright Angel,1 Sigma,Bright Angel,1 Sigma,Upper Bright Angel,1 Sigma,Temple Butte 1,1 Sigma,Temple Butte 3,1 Sigma,Surprise Canyon Conglomerate,1 Sigma,Surprise Canyon 06GC149,1 Sigma,Surprise Canyon 2,1 Sigma,Watahomigi,1 Sigma,Manacacha 1,1 Sigma,Basal Wescogame 06GC147,1 Sigma,Esplanade,1 Sigma,Esplanade 06GC156,1 Sigma,Esplanade 06GC155,1 Sigma,Lower Hermit,1 Sigma,Hermit,1 Sigma,Upper Hermit,1 Sigma,Coconino 1,1 Sigma,Coconino 2,1 Sigma,Toroweap 1,1 Sigma,Toroweap 2,1 Sigma,Kaibab,1 Sigma,Kaibab 2,1 Sigma
1645.14499,31.54495532,1436.836172,35.85795471,1421.850115,22.50523518,1754.529518,28.12263735,1679.998275,23.54259075,1694.914187,31.19973093,1105.449102,95.04520275,1566.474142,28.42019748,1194.908243,49.7608329,1202.458763,51.3077261,1181.804036,35.60654823,1663.55279,27.61085964,1156.100107,30.80154446,1138.657274,28.86141501,1335.827245,27.33041436,1071.940158,26.88508931,1158.474691,55.70871261,1156.960147,19.66205218,2121.543984,18.53313832,2670.555754,6.319560916,1554.920184,42.63135393,1650.773562,12.95470476,1210.01121,25.85444866,441.7399857,22.54277683,1669.401593,25.76276396
1711.561168,35.43353693,1734.735824,40.19825501,1678.50226,25.49438885,1444.824744,28.83138719,1736.953156,9.913031333,1588.985038,67.1082718,1444.282047,49.20302291,1410.011553,52.72958497,1083.823374,12.79248942,1307.072236,48.1984367,1092.3609,49.86664323,3000.592431,40.68917607,1860.637532,49.67985346,1309.974044,52.81044381,2533.764192,20.80315181,1770.204962,28.12851434,955.5058596,86.54827443,1425.827453,54.09477913,444.0750303,11.83933078,1632.212495,5.995975419,1235.184229,46.5132299,1253.5485,16.3956937,1687.804911,42.81419855,620.5165171,9.287930528,1392.40983,50.9514526
1678.312149,33.63002689,1625.930616,29.02489002,1709.758081,22.17668014,1704.745039,19.72894221,1650.647444,22.35906572,1655.281334,52.66607538,1357.60664,30.1306498,1083.482704,77.850988,1959.257473,24.16210662,1061.4665,26.13013575,1993.933203,22.23300214,1023.000352,37.69426064,2145.319268,40.56212123,2971.114767,50.13409558,1668.010676,29.9705839,1719.741504,30.33374868,1337.601236,56.12420406,353.6570817,4.103705603,626.0606877,10.9669711,1072.936424,41.57241731,1436.26864,43.49311298,444.9025504,16.43168915,2695.5351,37.33738237,567.9143823,3.587920795,1623.702839,15.26937345
1406.888908,20.04284811,1352.290134,39.22158605,1699.681888,40.06918723,1757.712496,21.32684004,1686.466053,16.72010564,1693.690991,27.85366476,1906.778543,15.33419415,2712.167863,8.030456213,1280.932371,56.71405501,1209.828699,63.88498652,1355.763431,35.29118598,1892.270803,18.3754565,1096.011668,49.33907771,1765.316394,43.49378242,1089.21383,24.47764844,1102.593744,57.00669196,1341.573663,39.23623325,1438.638675,24.64218224,1421.508749,20.19889384,1155.724905,64.24363214,1697.666825,41.50197111,389.5651801,13.26272906,1794.081909,10.99702762,1784.255596,15.13702292,1507.245383,16.38774653
1716.419151,28.88015415,1461.313485,35.03435476,1746.866142,16.82059489,1757.19522,15.43068529,1704.219764,17.90330986,1823.960184,39.83779681,1422.254334,37.91830288,1035.542859,30.11891322,1674.65619,25.21707276,1021.847829,63.25803923,1781.103043,53.27358762,1797.536698,18.22815598,1286.191096,42.27804267,1929.899765,22.75466423,1645.096444,27.84457452,1805.677012,33.81908562,1656.991946,17.48526719,1870.392069,12.15153302,615.1350485,33.05009269,2646.473085,17.4405032,1045.330609,61.31075558,1437.54955,31.27624375,1029.930473,55.83545002,381.047099,8.140091073,1516.003908,28.05860503
1443.831113,24.78647633,1421.318001,51.48520108,1770.366612,30.11361667,1784.399645,13.24821638,1388.695293,16.30806217,1452.087171,33.31703879,1707.55083,28.97119038,1474.805029,33.19460047,1443.082832,57.80823386,1043.032226,30.74046407,1083.496085,99.54959155,1354.86191,31.12551693,2202.793753,43.35767212,1084.525944,23.46865775,1711.088407,32.19640972,1047.159829,45.3929736,1920.868624,15.28777876,1447.630766,18.55590697,1715.970555,36.41374617,1031.440141,16.72882964,1012.643384,34.33932477,436.4391854,9.935404554,554.1974992,15.66581801,1667.380135,12.60944788,603.8536223,16.39493942
1754.213573,34.7663579,1102.820462,50.47565123,1750.104426,16.40752186,1458.80118,29.05779511,1700.664145,25.47348636,1680.591605,122.2669135,1880.955379,104.6587979,1078.975399,38.94175274,309.367827,7.558647548,1422.980917,49.79452221,2773.37199,42.32008967,1599.101296,28.9528013,1177.379777,49.83906136,1681.174937,18.46881703,1176.878411,29.28956996,1392.71456,30.50943128,1699.76406,14.91080657,1450.238826,13.48404737,610.8657317,11.17824166,2701.046863,20.09378619,1648.738678,27.81842024,680.0594048,12.10386365,2778.143365,21.31428759,468.8190099,6.194837601,961.2612881,80.8082165
1460.38663,19.01193723,1712.225376,39.21954001,1680.522671,24.28026165,1463.744476,28.35739936,1692.254724,10.13535071,1369.574662,48.54998177,1897.609697,13.3359291,1024.411867,62.6535578,1440.069928,14.46522383,1281.333546,14.61277541,1811.49272,39.15470125,1061.554465,22.56495496,1147.867492,40.21806424,1762.383485,29.98001109,1115.385878,46.11823314,1106.82332,39.59048754,2803.61655,3.615521508,1153.682379,38.08358578,2798.994861,6.613510797,1417.051955,10.6199781,1056.073998,58.85121412,350.7240694,5.512607694,488.8241355,24.24375852,1263.013526,40.70905882,1086.045532,27.36758455
1821.442348,39.67460889,1738.231089,32.15058665,1710.923106,17.82880167,1785.985207,12.67182841,1783.955722,11.87830997,1923.086197,75.93919189,1744.547993,44.30139011,1900.390675,6.664191677,1251.236561,48.06411355,1131.646851,38.67441253,1281.518198,48.05180977,1621.788718,18.68967499,1380.54419,31.40195463,1412.479105,46.31545195,1220.199276,50.7366055,1645.265957,23.00964781,520.0281393,31.74318013,1410.035383,16.07521288,370.3923844,12.45086884,1801.720123,8.840160089,1050.604308,71.73337503,300.1094849,7.052020492,1693.391516,49.24171241,422.6824432,9.696229092,341.0200732,9.516449704
1427.081824,29.60352391,1733.846924,18.35767447,1447.160702,21.3741172,1462.122759,37.52725928,1422.174795,56.16774502,1452.680934,59.14033843,1630.846206,34.02492515,410.86301,11.37808934,1718.846691,34.26519368,1174.324381,50.91517346,1167.390012,56.24232639,2684.878814,16.57951123,1978.345533,26.76423708,1930.486685,32.62870357,1198.774919,52.65436444,2689.978942,25.78560547,1034.1929,16.21547893,588.7610801,14.27282805,552.9899832,11.61058115,1177.853225,20.09672672,1346.113345,38.8189064,1634.819544,19.33963049,2917.561173,38.05300239,1750.154129,37.19177622,1083.014066,38.12814106
1423.603393,36.32214949,1838.284093,38.07678178,1708.959678,30.31630843,1476.837672,14.45045442,1778.441008,9.609670589,1724.362391,47.32248358,1433.798968,48.14216643,1915.210673,9.364161281,1768.439442,17.07814431,1841.463718,7.909881862,442.3999326,10.26147319,2620.677274,38.38132058,1705.64491,39.86114568,1605.448415,27.6005476,1422.270896,43.57646876,1736.553779,27.88036655,1919.274768,23.39987595,1747.454249,19.67561653,2718.329347,10.35714354,430.8158804,11.96723346,1094.522411,49.81473685,1509.211794,10.29606058,1648.831957,27.67885492,1786.65263,25.88796334,1706.089975,35.03028589
1410.173787,26.83084589,1674.496889,23.5193504,1751.175032,26.37379947,1778.13017,12.97896261,1660.632726,22.14900582,1440.014551,31.50110459,1684.465865,28.12186643,1117.667031,46.54965998,1627.769892,19.56930417,1209.66115,40.39108689,1787.902843,17.87293165,1082.665595,25.3707252,1139.137811,25.8390593,1888.623121,28.62115979,1271.727045,46.25139865,1117.429641,34.8602253,2665.838252,32.53348661,2096.008335,17.17265008,401.5276513,18.17807373,1627.990211,8.709331848,1639.964956,38.62481845,1032.738285,16.92623581,1183.803207,23.12566213,1065.653522,28.59386712,1273.88071,32.4562707
1759.268132,33.65060813,1752.349285,28.37522783,1744.626955,14.66838156,1752.805068,13.16097186,1710.083387,17.81186781,1738.80517,27.87700318,1719.065793,42.71728665,1106.539281,48.62331384,1463.609806,19.9693566,1436.930947,13.35310724,1671.84192,46.66051709,1788.201956,40.98893494,2825.121551,21.15142079,2709.123186,16.49470363,1731.81316,18.34852838,1579.854989,35.5508277,1858.578325,7.384441874,1016.760829,49.9000396,549.8425793,14.45113596,1056.76133,7.753626618,1095.753015,26.80403805,1712.262109,11.08584269,1867.067259,26.71616207,2734.433903,40.83723745,2808.695318,11.82381999
1407.279422,32.55449552,1670.927113,38.67480194,1981.798154,8.030484938,1024.417952,14.26760315,1046.502132,53.43809103,1436.750078,38.06443784,1245.8638,48.67479713,1046.542107,25.5777981,1343.898171,33.19905905,1010.163571,25.19501571,1256.029519,18.665854,2745.247152,44.56346734,464.0499884,2.283543168,1799.725402,36.21782584,1953.00486,22.68550354,1180.598274,49.878192,559.6972998,18.40735734,1743.55763,10.12470001,1626.900289,27.50321839,1002.096138,76.33641554,1607.181338,45.88275065,1770.209798,12.2338539,1346.560586,54.95694595,1444.211453,52.13230426,1436.533043,31.66548746
1750.851857,18.3191393,1107.070125,36.9170969,1787.183087,18.25228627,1757.805933,17.26628224,1668.392085,31.29663161,1762.68686,84.67408236,1467.198537,37.09713965,1008.328368,35.00219765,1720.690506,7.171107463,1444.879191,26.9114195,1680.363045,46.51132709,1059.092992,46.49501607,1137.143962,29.55352361,1110.724022,32.76832084,665.3141721,7.206319127,2093.831332,33.75433949,1182.68567,17.03205239,791.6572832,11.7522273,501.3066756,73.67133907,597.1451313,12.84611759,1074.610047,53.93327054,558.3941586,6.06855322,1815.899803,32.14791831,1772.068736,22.47882799,1702.957412,51.79777746
1781.638647,18.2409311,1436.589012,54.04993035,1444.744926,27.38759825,1752.690877,25.88351101,1727.555597,11.60140821,509.404479,14.74292946,1822.299398,41.5844171,1148.32103,82.38086248,1205.338912,35.00030648,1420.886076,62.28113004,1868.678329,60.6366559,1667.301375,53.84552314,1662.344362,49.66357113,1103.385246,22.39900453,2554.272777,29.97930281,2701.962403,24.26669109,1069.507654,34.39974224,2511.848845,16.25537084,689.1570809,20.00017509,719.8085147,40.82873103,1752.342247,39.54904662,414.3611373,14.17038556,655.3867238,3.115862756,1023.743695,57.00373558,1222.646714,10.37643379
1730.755329,35.42911474,1444.987166,39.09841709,1672.056268,14.14513174,1482.499715,16.49971068,1693.065115,15.24715819,1734.960935,64.59350043,1695.526186,28.20769551,1202.801784,59.39264159,1677.596275,11.65424909,1043.501618,33.15521045,1653.845127,35.409688,1688.127602,40.97582837,2907.224694,63.23123834,1041.079326,46.13697729,1026.054421,50.81702745,1786.079558,18.22484369,1141.767288,34.2398016,1187.836408,63.92230925,1030.659035,25.98983612,619.2189764,13.42191845,1652.249379,28.5651578,1644.303082,17.24250226,1684.561521,68.71541353,1292.549583,37.18754066,1330.143663,23.89076386
1733.594657,31.55685574,1757.353526,26.92824435,1733.232323,34.46659594,1821.39636,24.40997877,1752.145923,20.35953263,1662.542618,28.54124472,1760.795837,13.31698809,1365.291512,87.03526902,1100.426583,17.41711672,1073.95091,47.51416922,1100.899226,67.02380864,1634.444115,36.23633219,1210.342328,17.57014958,411.3096379,3.984627232,2662.323004,25.51829623,1655.548593,21.8781545,1083.439116,49.40980709,1450.594894,11.00743782,575.7368359,16.93380493,1441.11363,26.83675693,1650.305871,20.94969917,338.350103,5.351527641,1729.123208,32.13135248,1459.047725,53.01232843,1000.899662,40.56579346
1776.4498,22.44970471,1672.397451,34.59334479,2658.467689,16.16197751,1755.60072,48.94902134,1336.935539,16.98434821,1748.158534,26.57876752,1462.798474,40.52636103,1791.040566,17.85604654,1037.448967,28.96062612,1146.636919,18.94882575,1424.403301,70.47527558,1264.44834,36.14396067,1556.184295,17.88840195,2066.371809,31.38035249,1628.416581,33.0958005,1471.038707,31.70853762,2525.192952,51.18463836,1761.47242,10.62934059,1253.206433,47.79770365,1141.378285,7.215311353,1185.181152,29.49347536,1509.082523,18.20756433,1597.551819,79.21511916,2754.873266,16.11023419,1884.018953,25.37625357
1726.411953,52.52330158,1430.460811,49.74387324,1713.267538,28.93512042,1460.572924,45.98653534,1463.480935,19.19894909,1779.721699,54.20007996,1479.752755,26.18252221,1572.662092,10.38097645,1076.82703,14.43480911,1013.383698,78.73285509,1030.539808,57.90374602,1669.461458,26.51048817,1685.054953,39.37787905,1632.784113,36.60990134,1695.807454,46.45865071,403.6828876,3.913031176,970.0476969,43.47721159,399.115592,22.07470531,1800.821805,7.728708596,1072.982137,63.49113567,1734.169797,48.07495604,426.6882024,9.16894502,2870.192274,18.59348734,1049.710401,81.34958145,1224.091506,45.85367343
1707.245365,36.64881432,1739.845079,23.84984948,1428.623505,89.2623812,1452.648968,71.75743617,1707.034701,23.90916837,514.945649,13.3132436,1767.119455,18.32631874,1190.680684,24.72093045,1750.968155,14.79797584,1046.124465,39.7882843,465.4776753,5.837908074,1024.314812,37.22690962,1193.356937,23.39326123,1763.76494,40.21026989,1975.2005,35.81152853,2594.289088,22.01577834,1781.483424,32.10938113,721.2276153,9.932145274,1242.396711,66.21666084,1371.217692,4.235609211,1726.158778,20.22170565,410.609417,12.53143032,2744.857055,33.17844683,573.0698333,29.11683608,1439.47475,53.84033612
1733.036265,43.32790735,1747.836167,27.68335824,1441.718934,20.65324144,1755.476585,77.29508029,1675.272656,19.14494176,1708.309035,39.4030185,1465.514019,24.23555196,1762.92003,9.432328881,1725.554965,22.37733587,1448.185833,22.4884174,1161.381081,50.65204618,1291.725543,50.76191189,1771.304712,20.86528039,1106.661724,30.97628693,1881.038121,39.10041523,1059.397934,35.42931924,1661.132105,20.46651517,426.7020509,6.225180976,639.945744,21.77059676,636.5568139,6.517943005,1917.235556,28.71281418,1075.578227,62.12021323,1431.216074,36.0915787,1033.81297,95.67679805,3044.14887,43.94425899
